,PROP_TYPE_EN,AREA_EN,ACTUAL_AREA,count_total,sum_total,mean_total,count_sale,sum_sale,mean_sale,SSI
169,Unit,DUBAI SPORTS CITY,137.95,2,2590560.0,1295280.0,1,1400000.0,1400000.0,0.5
170,Unit,DUBAI SPORTS CITY,149.72,2,1610000.0,805000.0,1,980000.0,980000.0,0.5
171,Unit,DUBAI SPORTS CITY,192.73,1,1900000.0,1900000.0,1,1900000.0,1900000.0,1.0
172,Unit,DUBAI STUDIO CITY,55.89,2,1833000.0,916500.0,2,1833000.0,916500.0,1.0
173,Unit,DUBAI STUDIO CITY,61.26,1,940000.0,940000.0,1,940000.0,940000.0,1.0
174,Unit,DUBAI STUDIO CITY,96.87,2,2282280.0,1141140.0,1,1235000.0,1235000.0,0.5
175,Unit,HORIZON,73.23,1,1476828.0,1476828.0,1,1476828.0,1476828.0,1.0
176,Unit,HORIZON,78.11,1,1588828.0,1588828.0,1,1588828.0,1588828.0,1.0
177,Unit,INTERNATIONAL CITY PH 1,37.6,1,315000.0,315000.0,1,315000.0,315000.0,1.0
178,Unit,INTERNATIONAL CITY PH 1,43.0,1,275000.0,275000.0,1,275000.0,275000.0,1.0
179,Unit,INTERNATIONAL CITY PH 1,74.02,1,510000.0,510000.0,1,510000.0,510000.0,1.0
180,Unit,INTERNATIONAL CITY PH 2 & 3,38.91,1,330000.0,330000.0,1,330000.0,330000.0,1.0
181,Unit,INTERNATIONAL CITY PH 2 & 3,50.83,1,530736.0,530736.0,1,530736.0,530736.0,1.0
182,Unit,INTERNATIONAL CITY PH 2 & 3,72.45,2,831600.0,415800.0,1,450000.0,450000.0,0.5
183,Unit,INTERNATIONAL CITY PH 2 & 3,74.69,2,1600000.0,800000.0,2,1600000.0,800000.0,1.0
184,Unit,INTERNATIONAL CITY PH 2 & 3,74.83,2,1330804.0,665402.0,1,770804.0,770804.0,0.5
185,Unit,JADDAF WATERFRONT,42.58,2,1663200.0,831600.0,1,900000.0,900000.0,0.5
186,Unit,JADDAF WATERFRONT,91.25,2,1663200.0,831600.0,1,900000.0,900000.0,0.5
187,Unit,JUMEIRAH BEACH RESIDENCE,174.87,1,2455000.0,2455000.0,1,2455000.0,2455000.0,1.0
188,Unit,JUMEIRAH GOLF,167.91,2,4455000.0,2227500.0,1,2475000.0,2475000.0,0.5
189,Unit,JUMEIRAH LAKES TOWERS,36.01,1,620000.0,620000.0,1,620000.0,620000.0,1.0
190,Unit,JUMEIRAH LAKES TOWERS,39.93,2,1794000.0,897000.0,1,975000.0,975000.0,0.5
191,Unit,JUMEIRAH LAKES TOWERS,58.71,1,1327200.0,1327200.0,1,1327200.0,1327200.0,1.0
192,Unit,JUMEIRAH LAKES TOWERS,59.35,1,790000.0,790000.0,1,790000.0,790000.0,1.0
193,Unit,JUMEIRAH LAKES TOWERS,59.92,1,1548000.0,1548000.0,1,1548000.0,1548000.0,1.0
194,Unit,JUMEIRAH LAKES TOWERS,67.08,2,1663200.0,831600.0,1,900000.0,900000.0,0.5
195,Unit,JUMEIRAH LAKES TOWERS,69.54,1,2668863.54,2668863.54,1,2668863.54,2668863.54,1.0
196,Unit,JUMEIRAH LAKES TOWERS,71.93,1,900777.0,900777.0,1,900777.0,900777.0,1.0
197,Unit,JUMEIRAH LAKES TOWERS,72.04,1,1050000.0,1050000.0,1,1050000.0,1050000.0,1.0
198,Unit,JUMEIRAH LAKES TOWERS,75.91,2,1870000.0,935000.0,1,1150000.0,1150000.0,0.5
199,Unit,JUMEIRAH LAKES TOWERS,86.15,1,2550000.0,2550000.0,1,2550000.0,2550000.0,1.0
200,Unit,JUMEIRAH LAKES TOWERS,100.2,1,1100000.0,1100000.0,1,1100000.0,1100000.0,1.0
201,Unit,JUMEIRAH LAKES TOWERS,109.63,1,2832000.0,2832000.0,1,2832000.0,2832000.0,1.0
202,Unit,JUMEIRAH LAKES TOWERS,128.34,1,1360000.0,1360000.0,1,1360000.0,1360000.0,1.0
203,Unit,JUMEIRAH LAKES TOWERS,137.34,1,5482805.44,5482805.44,1,5482805.44,5482805.44,1.0
204,Unit,JUMEIRAH LAKES TOWERS,138.43,1,3880000.0,3880000.0,1,3880000.0,3880000.0,1.0
205,Unit,JUMEIRAH LAKES TOWERS,143.45,1,4446691.41,4446691.41,1,4446691.41,4446691.41,1.0
206,Unit,JUMEIRAH LAKES TOWERS,160.99,2,3994656.0,1997328.0,1,2375000.0,2375000.0,0.5
207,Unit,JUMEIRAH LAKES TOWERS,186.57,2,4005000.0,2002500.0,1,2225000.0,2225000.0,0.5
208,Unit,JUMEIRAH VILLAGE CIRCLE,39.37,1,533428.0,533428.0,1,533428.0,533428.0,1.0
209,Unit,JUMEIRAH VILLAGE CIRCLE,40.21,1,478000.0,478000.0,1,478000.0,478000.0,1.0
210,Unit,JUMEIRAH VILLAGE CIRCLE,40.28,1,545480.0,545480.0,1,545480.0,545480.0,1.0
211,Unit,JUMEIRAH VILLAGE CIRCLE,40.68,1,631112.0,631112.0,1,631112.0,631112.0,1.0
212,Unit,JUMEIRAH VILLAGE CIRCLE,41.22,1,637867.0,637867.0,1,637867.0,637867.0,1.0
213,Unit,JUMEIRAH VILLAGE CIRCLE,41.32,1,638832.0,638832.0,1,638832.0,638832.0,1.0
214,Unit,JUMEIRAH VILLAGE CIRCLE,41.42,1,640762.0,640762.0,1,640762.0,640762.0,1.0
215,Unit,JUMEIRAH VILLAGE CIRCLE,45.57,1,555000.0,555000.0,1,555000.0,555000.0,1.0
216,Unit,JUMEIRAH VILLAGE CIRCLE,61.25,1,900000.0,900000.0,1,900000.0,900000.0,1.0
217,Unit,JUMEIRAH VILLAGE CIRCLE,63.65,2,1410000.0,705000.0,1,900000.0,900000.0,0.5
218,Unit,JUMEIRAH VILLAGE CIRCLE,67.9,1,860000.0,860000.0,1,860000.0,860000.0,1.0
219,Unit,JUMEIRAH VILLAGE CIRCLE,72.68,1,963073.0,963073.0,1,963073.0,963073.0,1.0
220,Unit,JUMEIRAH VILLAGE CIRCLE,72.93,1,880000.0,880000.0,1,880000.0,880000.0,1.0
221,Unit,JUMEIRAH VILLAGE CIRCLE,73.36,1,750000.0,750000.0,1,750000.0,750000.0,1.0
222,Unit,JUMEIRAH VILLAGE CIRCLE,74.89,2,2052080.0,1026040.0,1,1130000.0,1130000.0,0.5
